parameter,value
y_mean,68.95559740023081
y_std,29.61997507787091
theta_mean,2.9636838602874627
theta_std,27.349545669871045
distance_mean,19.657755080451437
distance_std,19.999870288974996
index,weight
weight_0,-0.42928820305783844
weight_1,-0.5087169678004724
weight_2,0.04486540198129774
weight_3,0.22225421713385884
weight_4,0.13128494684462488
weight_5,-3190.8337159659714
weight_6,3190.8428348172456
weight_7,0.21267959887784826
weight_8,-0.08458201319643877
weight_9,-0.012534625099931418
weight_10,-0.015330634975200041
weight_11,-0.5638597485700529
weight_12,-0.24386385076979877
weight_13,-0.11012360445465674
weight_14,-0.17149541479000163
weight_15,-0.8301655792788791
weight_16,0.6939670406993628
weight_17,-0.7241737216086221
weight_18,0.17848339895925847
weight_19,1.692858625444842
weight_20,1.2090998935066182
weight_21,-0.041410109497064695
weight_22,1.0354830236178714
weight_23,1.0208744159830587
weight_24,-1.6964343133113289
weight_25,1.0516585564216712
weight_26,-0.8978149671916071
weight_27,-2.240579188611747
weight_28,-2.028987450044042
weight_29,0.7034367445389762
weight_30,-2.125638403697849
weight_31,-0.7061171417686865
weight_32,1.988700273532686
weight_33,-0.5946854593526041
weight_34,1.7016776184973423
weight_35,1.6171659494225281
weight_36,1.693680459430425
weight_37,-1.168185360168053
weight_38,2.109323834540646
weight_39,0.24163250672845038
weight_40,-1.2504760664950254
weight_41,0.002729802621104227
weight_42,-1.4980624452355187
weight_43,-0.6165230344901431
weight_44,-0.7558413199263896
weight_45,0.8618884321957125
weight_46,-1.162975435493422
weight_47,-0.030970556605751653
weight_48,0.4305468312556968
weight_49,0.12200667009816613
weight_50,0.6719602161487046
weight_51,0.10584745737531875
weight_52,0.17737648457529076
weight_53,-0.3250917337743999
weight_54,0.3717487752427928
weight_55,-0.0012292996889478047
weight_56,-0.07633126461853834
weight_57,-0.041830798725124296
weight_58,-0.14985568787101045
weight_59,-0.0021592412336453037
weight_60,-0.019596640436333246
weight_61,0.06106119391290932
weight_62,-0.06560392395827819
weight_63,0.00037738355415384284
weight_64,0.0054425205370221
weight_65,0.004272625223249671
weight_66,0.013229704575755008
weight_67,-0.0009934125131592086
weight_68,0.0007042092730653593
weight_69,-0.004526452443317286
weight_70,0.0050027897590825265
